服飾名稱,肩寬,衣長,衣服照片
少見顏色紋路燈芯絨襯衫,54,75,
北臉棉質襯衫,56,86,
Timberland全新襯衫,50,81,
全新Polo棉質襯衫,51,79,
老品NIKE AIR 田島運輸,59,65,
Nautica薄夾克,64,73,
早期VERSACE棒球外套,65,64,
老品萬寶龍襯衫,50,83,
老品puma風衣外套,64,68,
"ManiaCO.,ITD牛仔外套",45,66,
巴黎世家薄外套,58,72,
滑板嘻哈牛仔外套Alphanumeric,44,64,
BURBERRY背心,39,59,
早期starter背心,47,68,
Adidas羽絨背心,47,64,
早期MODERNGO背心,42,59,
全新Nautica棉質襯衫,55,83,
湖人隊STARTER,52,73,
Nautica棉質外套,64,65,
NIKE風衣,64,77,
NIKE棉質風衣,53,68,
Dickies盤格外套,46,61,
哥倫比亞全新搖粒,60,70,
日系短板薄外套,51,63,
早期NET燈芯絨外套,61,70,
1970年代公牛棒球外套,58,67,
BURBERRY 雙面穿棉質夾克,51,68,
企鵝外套,62,71,
NBA可拆式薄外套,52,78,
義大利GOORIK襯衫,56,77,
洋全新基棒球外套,58,67,
北臉搖粒雙面穿,53,73,
全新SHEIN賽車夾克,79,74,
老品STARTER芝加哥公牛,46,65,
LYLE&SCOTT風衣外套,48,74,
CK夾克,56,64,
PUMA棉質帽T,62,65,
ASHWORTH V領,55,79,
T+CC正韓半拉,53,71,
密爾瓦基釀酒人棒球衣,64,82,
Fear Of God無袖,49,74,
早期華美燈芯絨外套,51,79,
北臉少數色風衣,49,73,
RRL全新格子襯衫,53,78,
G-STAR Shirt’jac全新襯衫,57,89,
BURBERRY全新棉質大衣,50,65,
BIKE V領,68,73,
KANI棒球外套,57,71,
全新萬寶龍襯衫,47,73,
G-STAR襯衫外套,53,77,
萬寶龍牛仔外套,60,73,
西部兵團牛仔外套,48,72,
Timberland風衣,59,75,
PURE NEW WOOL 針織背心,43,64,
皮領萬寶龍大衣,62,83,
義大利Dunhill外套,53,70,
NIKE大標風衣,55,78,
NBA雷霆隊半拉風衣,54,74,
北臉黑色風衣,62,73,
正韓短版羽絨外套,45,59,
TOMMY厚磅棉質半拉全新,61,67,
G-STAR襯衫,59,79,
G-STAR厚磅外套,58,72,
G-STAR全新厚磅外套,62,80,
TOMMY HILFIGER風衣,46,69,
老牌PAKLUNG MEN’S 襯衫,48,81,
PLAY BOY變形蟲襯衫,52,80,
絕版品MONO法拉利外套,58,70,
25年前老洋基棒球外套,57,70,
Dc,58,74,
空軍外套,63,71,
RAIDERS帽踢,59,75,
Tommy藍帽踢,51,79,
Tommy外套,51,79,
紅色背心,49,84,
藍色加厚背心,55,74,
藍吊嘎,41,84,
衝鋒背心(紅白),47,74,
衝鋒拉鍊背心(黑),47,74,
帽踢,59,75,
LV大學踢,67,75,
格子襯衫,59,85,
藍色外套,76,80,
鈔票外套,62,83,
Navy 外套,48,84,
空軍外套,63,71,
Muah帽踢,67,64,
藍毛大衣,71,84,
米白毛大衣,82,92,
綠色厚外套,60,72,
